time_window,outlier_method,ofi_r2,ti_r2,difference,winner
1,Raw,0.05686971235026511,3.594702600916293e-05,0.05683376532425595,OFI
1,IQR (1.5x),0.05453453329536677,0.0001219646330574,0.05441256866230937,OFI
1,Pctl (1%-99%),0.06701599037446579,0.0002866759369482,0.06672931443751759,OFI
1,Z-Score (3),0.08227976436097975,5.620424327263106e-05,0.08222356011770712,OFI
1,Winsorized,0.10324536952571148,0.0001143971609648,0.10313097236474668,OFI
1,Abs (200k),0.09252928041331651,5.19949834976897e-05,0.09247728542981883,OFI
1,Abs (100k),0.09289238074716004,5.19949834976897e-05,0.09284038576366235,OFI
1,MAD (3),0.056884904160700384,0.0005083195837596,0.05637658457694078,OFI
1,Pctl (5%-95%),0.06036005241534795,0.0004124369247382,0.05994761549060975,OFI
5,Raw,0.09857100985128535,0.0001454448931642,0.09842556495812115,OFI
5,IQR (1.5x),0.09130759649448955,0.0011467424893664,0.09016085400512315,OFI
5,Pctl (1%-99%),0.13228538962671707,0.0002051981182741,0.13208019150844297,OFI
5,Z-Score (3),0.1577783536870726,0.0002285578255965,0.1575497958614761,OFI
5,Winsorized,0.17992203557259065,0.000344204150548,0.17957783142204264,OFI
5,Abs (200k),0.16069008744904476,0.0002084307837799,0.16048165666526484,OFI
5,Abs (100k),0.15344282798729822,0.000209058527986,0.15323376945931222,OFI
5,MAD (3),0.09912644324596093,0.0006271938501924,0.09849924939576853,OFI
5,Pctl (5%-95%),0.09773205712523772,0.0016903071785157,0.09604174994672202,OFI
10,Raw,0.14763142285998931,0.0002802896627973,0.147351133197192,OFI
10,IQR (1.5x),0.12592267582934763,0.0013996367514635,0.12452303907788413,OFI
10,Pctl (1%-99%),0.21023730622741998,0.0007136338172538,0.20952367241016617,OFI
10,Z-Score (3),0.21661788432107298,0.0006380870373095,0.21597979728376349,OFI
10,Winsorized,0.23707610844583574,0.000565918704376,0.23651018974145974,OFI
10,Abs (200k),0.2128490329184229,0.0006380870373095,0.2122109458811134,OFI
10,Abs (100k),0.18362891067561243,0.0006350868357804,0.18299382383983204,OFI
10,MAD (3),0.13380422436734402,0.0007637368258486,0.13304048754149542,OFI
10,Pctl (5%-95%),0.14204511606722517,0.0036261835461046,0.13841893252112056,OFI
15,Raw,0.18573400070664164,0.0016684542993672,0.18406554640727443,OFI
15,IQR (1.5x),0.13251575111512467,0.0003817216537184,0.1321340294614063,OFI
15,Pctl (1%-99%),0.20985792454349625,0.0010056254514292,0.20885229909206704,OFI
15,Z-Score (3),0.22657960542867162,0.0001720912312322,0.2264075141974394,OFI
15,Winsorized,0.2620605847079754,1.077083773366619e-06,0.262059507624202,OFI
15,Abs (200k),0.22399666292894996,0.0009767444819187,0.22301991844703126,OFI
15,Abs (100k),0.17622567445855128,0.0008633845337947,0.17536228992475658,OFI
15,MAD (3),0.14487802235984892,0.0007415136906809,0.14413650866916802,OFI
15,Pctl (5%-95%),0.1522947213456749,0.0007946582558908,0.1515000630897841,OFI
20,Raw,0.1758117146744853,0.0004403580954598,0.1753713565790255,OFI
20,IQR (1.5x),0.14898977740765376,0.0013676273568028,0.14762215005085097,OFI
20,Pctl (1%-99%),0.22888051434089193,0.0023489991913473,0.22653151514954464,OFI
20,Z-Score (3),0.2571122583912606,0.0018899689670142,0.2552222894242464,OFI
20,Winsorized,0.2791845013098696,0.0009211462967556,0.278263355013114,OFI
20,Abs (200k),0.2413339671226796,0.0012632047498352,0.2400707623728444,OFI
20,Abs (100k),0.19961756017330318,0.0025176214928419,0.19709993868046127,OFI
20,MAD (3),0.16543241551698146,0.0003730722601565,0.16505934325682495,OFI
20,Pctl (5%-95%),0.16712826433549186,0.0020867876010453,0.16504147673444655,OFI
30,Raw,0.14742810241963383,0.0038233353181743,0.14360476710145953,OFI
30,IQR (1.5x),0.1452552201504827,0.0024243134724227,0.14283090667806,OFI
30,Pctl (1%-99%),0.20908135790513743,0.0002543180952282,0.20882703980990924,OFI
30,Z-Score (3),0.25152377648701346,1.369252150357136e-07,0.2515236395617984,OFI
30,Winsorized,0.2700124926339252,4.366606327522088e-06,0.27000812602759766,OFI
30,Abs (200k),0.2226807327439929,0.0011182560514406,0.22156247669255227,OFI
30,Abs (100k),0.18340831736380908,0.003011656620947,0.1803966607428621,OFI
30,MAD (3),0.15584170306239753,0.0001437543480102,0.15569794871438733,OFI
30,Pctl (5%-95%),0.1644249878367161,0.0013670893829731,0.163057898453743,OFI
45,Raw,0.17277458616879926,0.0018155890265657,0.17095899714223356,OFI
45,IQR (1.5x),0.17727517811745905,0.0029097856648393,0.17436539245261976,OFI
45,Pctl (1%-99%),0.2926260915553615,0.0005201074290702,0.2921059841262913,OFI
45,Z-Score (3),0.31103688820748504,0.000508576537588,0.31052831166989703,OFI
45,Winsorized,0.3363520358578597,0.0003267557007595,0.3360252801571002,OFI
45,Abs (200k),0.29003945195106967,0.003720568386115,0.28631888356495466,OFI
45,Abs (100k),0.17446733256650906,0.0023356739138583,0.17213165865265076,OFI
45,MAD (3),0.19120628948465346,0.0024519442181567,0.18875434526649676,OFI
45,Pctl (5%-95%),0.22047988005103233,0.0015227741181678,0.21895710593286452,OFI
60,Raw,0.14565727073182114,0.0024457376562976,0.14321153307552353,OFI
60,IQR (1.5x),0.21429593824994955,0.0032649401585437,0.21103099809140585,OFI
60,Pctl (1%-99%),0.3022268134401378,0.0018168349552808,0.300409978484857,OFI
60,Z-Score (3),0.2869109254107428,0.0017846859196282,0.2851262394911146,OFI
60,Winsorized,0.28708892457232216,3.0278872677441805e-05,0.28705864569964473,OFI
60,Abs (200k),0.267254379262248,0.0030378044465233,0.2642165748157247,OFI
60,Abs (100k),0.1657571784834911,0.0027171761700706,0.1630400023134205,OFI
60,MAD (3),0.24759596929461677,0.0028285290026035,0.24476744029201328,OFI
60,Pctl (5%-95%),0.232944441677905,0.0001162549811959,0.2328281866967091,OFI
90,Raw,0.16882591790100385,0.0062010627063143,0.16262485519468955,OFI
90,IQR (1.5x),0.28542265732831806,0.0010698215670243,0.2843528357612938,OFI
90,Pctl (1%-99%),0.32034257155847357,2.6021210993079877e-05,0.32031655034748047,OFI
90,Z-Score (3),0.35316804183309364,2.521715789623749e-05,0.3531428246751974,OFI
90,Winsorized,0.33433479056931453,0.0009196688299758,0.33341512173933874,OFI
90,Abs (200k),0.32261024556286,0.0052105335936298,0.3173997119692302,OFI
90,Abs (100k),0.2060710380311142,1.0183678124076676e-05,0.20606085435299012,OFI
90,MAD (3),0.2972199295034305,0.0074961273754208,0.2897238021280097,OFI
90,Pctl (5%-95%),0.3091145905461371,0.0011034854677036,0.3080111050784335,OFI
